Key,EN,CN,FR,EN 적용체크,CN 적용체크,FR 적용체크
구간,Section,区间,Zone,,,
도감,Collection,图鉴,Encyclopédie,O,,
등급,Grade,等级,Rareté,,,
마스터,Master,精通,Maîtrise,,,
에서 제작,Crafted at,于...制作,Fabriquer dans,,,
열기,Open,打开,Ouvrir,,,
지역,Region,地区,Région,,,
처치,Defeat,击杀,Éliminations,,,
키를 눌러 계속,Press any key to continue.,按键继续,Appuyez sur une touche pour continuer,,,
필요,Required,需要,Requis,,,
획득!,Obtained!,获得！,Obtenu !,O,,
% 지점 보상,% Milestone Rewards,%节点奖励,Récompense de palier (%),O,,
??? (도달 시 공개),??? (Unlocks Upon Reaching),???（到达时公开）,??? (Débloqué une fois atteint),O,,
??? (미발견 몬스터),??? (Undiscovered Monster),???（未发现的怪物）,??? (Monstre non découvert),,,
??? (미해금 설비),??? (Locked Facility),???（未解锁设施）,??? (Installation non débloquée),,,
{0} +{1} ({2}초),{0} +{1} ({2} Second),{0} +{1}（{2}秒）,{0} +{1} ({2} s),,,
{0} 영구 +{1},{0} Permanent +{1},{0} 永久 +{1},{0} +{1} de façon permanente,,,
{0}초 동안 {1} {2} 회복,Recover {2} {1} over {0} sec.,{0}秒内恢复{1} {2},Restaure {2} {1} pendant {0} s,,,
잭팟!,Jackpot!,大奖！,Jackpot !,,,
>>> 생산 중,>>> Producing,生产中,>>> Production en cours,,,
1차 가공품,Basic Material,一次加工品,Matériau transformé (Niv. 1),,,
2차 가공품,Refined Material,二次加工品,Matériau transformé (Niv. 2),,,
F키로 회수,Press F to Retrieve,按F回收,Appuyez sur F pour récupérer,,,
가동 중 철거 - 아이템 창고로 회수,Dismantle While Operating - Sent to Item Storage,运行中拆除 - 物品存入仓库,Démoli en fonctionnement - Envoyé à l'entrepôt,,,
가방,Inventory,背包,Sac,,,
가방이 가득 찼습니다,Inventory is full,背包已满,Le sac est plein,,,
강화,Upgrade,强化,Amélioration,O,,
강화 성공!,Upgrade Successful!,强化成功！,Amélioration réussie !,,,
강화 실패,Upgrade Failed,强化失败,Échec de l'amélioration,O,,
강화 중...,Upgrading...,强化中...,Amélioration en cours...,O,,
강화 키트가 부족합니다,Not enough Upgrade Kits.,强化套件不足,Kits d'amélioration insuffisants,,,
개,x,个,unité(s),,,
개 부족,Not Enough {x},数量不足,Quantité insuffisante,O,,
{0} x{1}개를 버리시겠습니까?,Discard {0} x{1}?,是否丢弃 {0} x{1}？,Voulez-vous jeter {0} × {1} ?,,,
{0} x{1}개를 영구 삭제하시겠습니까?,Permanently delete {0} x{1}?,是否永久删除 {0} x{1}？,Voulez-vous supprimer définitivement {0} × {1} ?,,,
고른 아이템을 창고에서 꺼내 벨트로 내보냅니다.\n창고 테두리에 설치하세요.,Outputs the selected item from storage onto a conveyor belt.\nPlace it along the edge of the storage.,将选中物品从仓库取出并送至传送带。\n请安装在仓库边缘。,Retire l'objet sélectionné de l'entrepôt et l'envoie sur le convoyeur.\nInstallez-le sur le bord de l'entrepôt.,,,
공격력,Attack Power,攻击力,Attaque,,,
공격속도,Attack Speed,攻击速度,Vitesse d'attaque,,,
구간 달성,Milestone Reached,区间达成,Zone atteinte,,,
귀환석 Lv.2,Return Stone Lv.2,回城石 Lv.2,Pierre de retour Niv. 2,,,
귀환석 Lv.2(쿨타임 10분)로 강화되었습니다.,Upgraded to Return Stone Lv.2 (10min Cooldown).,已强化为回城石 Lv.2（冷却时间10分钟）。,Amélioré en Pierre de retour Niv. 2 (temps de recharge : 10 min).,,,
기지 전송 컴퓨터 현재 구간,Base Transfer Terminal Current Milestone,基地传输计算机当前区间,Zone actuelle du terminal de transfert,O,,
낮음,Low,低,Faible,,,
다른 레시피 사용 중,Another Recipe Is Already in Use,正在使用其他配方,Une autre recette est en cours d'utilisation,,,
다른 지역 / 이 구간 사용 불가,Unavailable in This Area / Milestone,其他地区 / 本区间不可用,Impossible d'utiliser dans cette région / cette zone,,,
다른 지역 키트 · 현재 {0} 구간에서 사용 불가,Different Area Kit · Cannot Be Used at Current Milestone ({0}),其他地区套件 · 当前{0}区间不可用,Kit d'une autre région · Impossible à utiliser dans la zone {0},,,
다음 강화 해금!,Next Upgrade Unlocked!,下一强化已解锁！,Amélioration suivante débloquée !,O,,
다음 배출까지,Until Next Output,距下次产出,Jusqu'à la prochaine sortie,,,
단계 해금,Stage Unlocked,阶段解锁,Palier débloqué,O,,
닫기,Close,关闭,Fermer,,,
대기 중,Idle,等待中,En attente,,,
대시 소모,Dash Cost,冲刺消耗,Consommation d'endurance du sprint,,,
데이터를 불러오지 못했습니다. 재시도 중...({0}),Failed to Load Data. Retrying... ({0}),数据加载失败。重试中...（{0}）,Impossible de charger les données. Nouvelle tentative... ({0}),,,
동력 안정기,Power Stabilizer,动力稳定器,Stabilisateur d'énergie,,,
드래그로 빼기,Drag to Remove,拖拽取出,Faire glisser pour retirer,,,
드롭 정보가 없습니다.,No Drop Information Available.,无掉落信息。,Aucune information de butin,,,
드롭 확률 공개,Drop Rates Revealed,掉落概率公开,Afficher les taux de butin,,,
레시피,Recipe,配方,Recette,,,
