MonsterType,TableID,DropType,ItemID,ItemName,Probability(%),Description
Chaser,C_T1,Guaranteed,6101,보강 테이프,18,임시 보강에 사용하는 테이프
Chaser,C_T1,Guaranteed,6102,접합 접착제,18,재료를 서로 붙이는 접착제
Chaser,C_T1,Guaranteed,6103,윤활 오일,14,기계 마찰을 줄여주는 오일
Chaser,C_T1,Guaranteed,6104,고정 핀,16,부품 위치를 고정하는 작은 핀
Chaser,C_T1,Guaranteed,6105,체결 너트,17,볼트와 함께 사용하는 너트
Chaser,C_T1,Guaranteed,6106,체결 볼트,17,부품을 단단히 고정하는 볼트
Chaser,C_T1,Bonus,4104,9mm,45,권총용 탄약
Chaser,C_T1,Bonus,4103,12 Gauge,25,샷건용 탄약
Chaser,C_T1,Bonus,2103,Lv.1 방탄모,15,기본 방탄 헬멧
Chaser,C_T1,Bonus,5118,만년필,30,판매 가치가 있는 만년필
Chaser,C_T2,Guaranteed,6111,건축용 목재,25,기본적인 건축용 목재
Chaser,C_T2,Guaranteed,6112,보강 목판,20,가공된 건축용 목판
Chaser,C_T2,Guaranteed,6113,경량 금속판,20,얇지만 단단한 금속판
Chaser,C_T2,Guaranteed,6109,합성 플라스틱,20,다용도로 사용 가능한 플라스틱
Chaser,C_T2,Guaranteed,6106,체결 볼트,15,부품을 단단히 고정하는 볼트
Chaser,C_T2,Bonus,6108,섬유 원단,35,튼튼하게 짜여진 섬유 원단
Chaser,C_T2,Bonus,4104,9mm,35,권총용 탄약
Chaser,C_T2,Bonus,5117,향수,25,판매 가치가 있는 향수
Chaser,C_T2,Bonus,2103,Lv.1 방탄모,12,기본 방탄 헬멧
Chaser,C_T3,Guaranteed,6109,합성 플라스틱,35,다용도로 사용 가능한 플라스틱
Chaser,C_T3,Guaranteed,6110,산업용 고무,30,충격을 흡수하는 고무 자원
Chaser,C_T3,Guaranteed,6114,산업용 파이프,20,유체와 공기를 이동시키는 파이프
Chaser,C_T3,Guaranteed,6115,연결 조인트,15,파이프 연결용 부품
Chaser,C_T3,Bonus,4102,5.45mm,35,돌격소총용 탄약
Chaser,C_T3,Bonus,4104,9mm,30,권총용 탄약
Chaser,C_T3,Bonus,6106,체결 볼트,35,부품을 단단히 고정하는 볼트
Chaser,C_T3,Bonus,5116,금 반지,18,판매 가치가 있는 금 반지
Chaser,C_T3,Bonus,5109,금화,12,높은 판매 가치를 가진 금화
Chaser,C_T4,Guaranteed,6122,금속 프레임,30,구조를 지탱하는 금속 프레임
Chaser,C_T4,Guaranteed,6120,보강 철재,25,강도가 강화된 철재
Chaser,C_T4,Guaranteed,6119,압력 밸브,20,압력을 조절하는 장치
Chaser,C_T4,Guaranteed,6118,전력 케이블,25,전력을 전달하는 케이블
Chaser,C_T4,Bonus,6123,전자 모듈,35,전자 장치에 사용되는 부품
Chaser,C_T4,Bonus,6124,전력 셀,32,전력을 저장하는 소형 셀
Chaser,C_T4,Bonus,4101,7.62mm,35,고위력 탄약
Chaser,C_T4,Bonus,3103,Lv.1 방탄복,22,기본 방탄복
Chaser,C_T4,Bonus,2102,Lv.2 방탄모,20,중급 방탄 헬멧
Chaser,C_T4,Bonus,3102,Lv.2 방탄복,15,중급 방탄복
Chaser,C_T4,Bonus,5114,시가 세트,18,판매 가치가 있는 시가 세트
Chaser,C_T4,Bonus,6125,기본 공구 키트,18,기본적인 수리 및 정비 공구
Chaser,C_T5,Guaranteed,6116,안전 퓨즈,22,과부하를 방지하는 퓨즈
Chaser,C_T5,Guaranteed,6117,절연 케이블,22,절연 처리가 된 케이블
Chaser,C_T5,Guaranteed,6125,기본 공구 키트,18,기본적인 수리 및 정비 공구
Chaser,C_T5,Guaranteed,6118,전력 케이블,20,전력을 전달하는 케이블
Chaser,C_T5,Guaranteed,6124,전력 셀,18,전력을 저장하는 소형 셀
Chaser,C_T5,Bonus,4102,5.45mm,50,돌격소총용 탄약
Chaser,C_T5,Bonus,4104,9mm,50,권총용 탄약
Chaser,C_T5,Bonus,5114,시가 세트,18,판매 가치가 있는 시가 세트
Chaser,C_T5,Bonus,2103,Lv.1 방탄모,25,기본 방탄 헬멧
Chaser,C_T5,Bonus,2101,Lv.3 방탄모,10,고급 방탄 헬멧
Chaser,C_T5,Bonus,3101,Lv.3 방탄복,8,고급 방탄복
Chaser,C_T5,Bonus,5109,금화,15,높은 판매 가치를 가진 금화
Chaser,C_T5,Bonus,6123,전자 모듈,28,전자 장치에 사용되는 부품
Chaser,C_T5,Bonus,6120,보강 철재,25,강도가 강화된 철재
Shooter_Pistol,SP_T1,Weapon,1105,PM,50,권총
Shooter_Pistol,SP_T1,Guaranteed,6106,체결 볼트,30,부품을 단단히 고정하는 볼트
Shooter_Pistol,SP_T1,Guaranteed,6111,건축용 목재,25,기본적인 건축용 목재
Shooter_Pistol,SP_T1,Guaranteed,6113,경량 금속판,25,얇지만 단단한 금속판
Shooter_Pistol,SP_T1,Guaranteed,6109,합성 플라스틱,20,다용도로 사용 가능한 플라스틱
Shooter_Pistol,SP_T1,Bonus,4104,9mm,85,권총용 탄약
Shooter_Pistol,SP_T1,Bonus,2103,Lv.1 방탄모,35,기본 방탄 헬멧
Shooter_Pistol,SP_T1,Bonus,3103,Lv.1 방탄복,30,기본 방탄복
Shooter_Pistol,SP_T1,Bonus,6103,윤활 오일,45,기계 마찰을 줄여주는 오일
Shooter_Pistol,SP_T1,Bonus,5118,만년필,35,판매 가치가 있는 만년필
Shooter_Pistol,SP_T2,Weapon,1105,PM,45,권총
Shooter_Pistol,SP_T2,Guaranteed,6110,산업용 고무,30,충격을 흡수하는 고무 자원
Shooter_Pistol,SP_T2,Guaranteed,6109,합성 플라스틱,25,다용도로 사용 가능한 플라스틱
Shooter_Pistol,SP_T2,Guaranteed,6106,체결 볼트,25,부품을 단단히 고정하는 볼트
Shooter_Pistol,SP_T2,Guaranteed,6113,경량 금속판,20,얇지만 단단한 금속판
Shooter_Pistol,SP_T2,Bonus,4104,9mm,80,권총용 탄약
Shooter_Pistol,SP_T2,Bonus,6101,보강 테이프,45,임시 보강에 사용하는 테이프
Shooter_Pistol,SP_T2,Bonus,5117,향수,30,판매 가치가 있는 향수
Shooter_Pistol,SP_T2,Bonus,2102,Lv.2 방탄모,22,중급 방탄 헬멧
Shooter_Pistol,SP_T2,Bonus,5116,금 반지,20,판매 가치가 있는 금 반지
Shooter_Pistol,SP_T3,Weapon,1105,PM,40,권총
Shooter_Pistol,SP_T3,Guaranteed,6120,보강 철재,25,강도가 강화된 철재
Shooter_Pistol,SP_T3,Guaranteed,6110,산업용 고무,25,충격을 흡수하는 고무 자원
Shooter_Pistol,SP_T3,Guaranteed,6109,합성 플라스틱,25,다용도로 사용 가능한 플라스틱
